object	1	How expected is that object in this room?
location	1_1	How expected is that object in that location?
location	1_2	How expected is that object in that location?
location	1_3	How expected is that object in that location?
location	1_4	How expected is that object in that location?
location	1_5	How expected is that object in that location?
location	1_6	How expected is that object in that location?
location	1_7	How expected is that object in that location?
location	1_8	How expected is that object in that location?
location	1_9	How expected is that object in that location?
location	1_10	How expected is that object in that location?
location	1_11	How expected is that object in that location?
location	1_12	How expected is that object in that location?
location	1_13	How expected is that object in that location?
location	1_14	How expected is that object in that location?
location	1_15	How expected is that object in that location?
location	1_16	How expected is that object in that location?
location	1_17	How expected is that object in that location?
location	1_18	How expected is that object in that location?
location	1_19	How expected is that object in that location?
location	1_20	How expected is that object in that location?
